Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,1.3
HR,HR-1,2,2,0.8
HR,HR-1,3,11,1.2
HR,HR-1,4,51,1.1
HR,HR-1,5,28,1.4
HR,HR-1,6,7,1.4
HR,HR-2,1,1,1.1
HR,HR-2,2,1,0.6
HR,HR-2,3,10,1
HR,HR-2,4,52,1.2
HR,HR-2,5,30,1.4
HR,HR-2,6,6,1.6
4o-Mini,4o-Mini,1,2,0.4
4o-Mini,4o-Mini,2,58,0.9
4o-Mini,4o-Mini,3,39,0.8
4o-Mini,4o-Mini,4,1,1.1
4o-Mini,4o-Mini,5,0,0
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,2,1.5
GPT-4o,GPT-4o,2,55,1
GPT-4o,GPT-4o,3,42,0.8
GPT-4o,GPT-4o,4,1,1.4
GPT-4o,GPT-4o,5,0,0
GPT-4o,GPT-4o,6,0,0
CL-3.5-H,CL-3.5-H,1,1,0.6
CL-3.5-H,CL-3.5-H,2,28,0.9
CL-3.5-H,CL-3.5-H,3,42,0.9
CL-3.5-H,CL-3.5-H,4,27,0.7
CL-3.5-H,CL-3.5-H,5,2,0.8
CL-3.5-H,CL-3.5-H,6,0,0
CL-3.5-S,CL-3.5-S,1,3,1.4
CL-3.5-S,CL-3.5-S,2,26,1.1
CL-3.5-S,CL-3.5-S,3,39,0.9
CL-3.5-S,CL-3.5-S,4,27,0.7
CL-3.5-S,CL-3.5-S,5,5,0.6
CL-3.5-S,CL-3.5-S,6,0,0
