Rater,Theta,Score,Expected_Zones,Half_Threshold
HR-1,-30,1,-9.09091,1.5
HR-1,-29.697,1,-3.93939,2.5
HR-1,-29.3939,1,8.9407e-007,3.5
HR-1,-29.0909,1,5.15152,4.5
HR-1,-28.7879,1,8.18182,5.5
HR-1,-28.4848,1,,
HR-1,-28.1818,1,,
HR-1,-27.8788,1,,
HR-1,-27.5758,1,,
HR-1,-27.2727,1,,
HR-1,-26.9697,1,,
HR-1,-26.6667,1,,
HR-1,-26.3636,1,,
HR-1,-26.0606,1,,
HR-1,-25.7576,1,,
HR-1,-25.4545,1,,
HR-1,-25.1515,1,,
HR-1,-24.8485,1,,
HR-1,-24.5455,1,,
HR-1,-24.2424,1,,
HR-1,-23.9394,1,,
HR-1,-23.6364,1,,
HR-1,-23.3333,1,,
HR-1,-23.0303,1,,
HR-1,-22.7273,1,,
HR-1,-22.4242,1,,
HR-1,-22.1212,1,,
HR-1,-21.8182,1,,
HR-1,-21.5152,1,,
HR-1,-21.2121,1.00001,,
HR-1,-20.9091,1.00001,,
HR-1,-20.6061,1.00001,,
HR-1,-20.303,1.00002,,
HR-1,-20,1.00002,,
HR-1,-19.697,1.00003,,
HR-1,-19.3939,1.00004,,
HR-1,-19.0909,1.00005,,
HR-1,-18.7879,1.00007,,
HR-1,-18.4848,1.00009,,
HR-1,-18.1818,1.00013,,
HR-1,-17.8788,1.00017,,
HR-1,-17.5758,1.00023,,
HR-1,-17.2727,1.00031,,
HR-1,-16.9697,1.00042,,
HR-1,-16.6667,1.00058,,
HR-1,-16.3636,1.00078,,
HR-1,-16.0606,1.00105,,
HR-1,-15.7576,1.00143,,
HR-1,-15.4545,1.00193,,
HR-1,-15.1515,1.00261,,
HR-1,-14.8485,1.00353,,
HR-1,-14.5455,1.00478,,
HR-1,-14.2424,1.00646,,
HR-1,-13.9394,1.00873,,
HR-1,-13.6364,1.01178,,
HR-1,-13.3333,1.01588,,
HR-1,-13.0303,1.02139,,
HR-1,-12.7273,1.02874,,
HR-1,-12.4242,1.03853,,
HR-1,-12.1212,1.05147,,
HR-1,-11.8182,1.06846,,
HR-1,-11.5152,1.09052,,
HR-1,-11.2121,1.11881,,
HR-1,-10.9091,1.15445,,
HR-1,-10.6061,1.19841,,
HR-1,-10.303,1.25124,,
HR-1,-10,1.31277,,
HR-1,-9.697,1.3819,,
HR-1,-9.3939,1.45651,,
HR-1,-9.0909,1.53368,,
HR-1,-8.7879,1.61017,,
HR-1,-8.4849,1.68299,,
HR-1,-8.1818,1.74993,,
HR-1,-7.8788,1.80989,,
HR-1,-7.5758,1.86284,,
HR-1,-7.2727,1.90969,,
HR-1,-6.9697,1.952,,
HR-1,-6.6667,1.99173,,
HR-1,-6.3636,2.03104,,
HR-1,-6.0606,2.07215,,
HR-1,-5.7576,2.11717,,
HR-1,-5.4545,2.16795,,
HR-1,-5.1515,2.22585,,
HR-1,-4.8485,2.29147,,
HR-1,-4.5455,2.36445,,
HR-1,-4.2424,2.44335,,
HR-1,-3.9394,2.52586,,
HR-1,-3.6364,2.60922,,
HR-1,-3.3333,2.69085,,
HR-1,-3.0303,2.76887,,
HR-1,-2.7273,2.84256,,
HR-1,-2.4242,2.9123,,
HR-1,-2.1212,2.97945,,
HR-1,-1.8182,3.04596,,
HR-1,-1.5152,3.11389,,
HR-1,-1.2121,3.18502,,
HR-1,-0.9091,3.26038,,
HR-1,-0.6061,3.33994,,
HR-1,-0.303,3.42251,,
HR-1,8.9407e-007,3.50589,,
HR-1,0.303,3.58737,,
HR-1,0.6061,3.66428,,
HR-1,0.9091,3.73462,,
HR-1,1.2121,3.79736,,
HR-1,1.5152,3.85253,,
HR-1,1.8182,3.90108,,
HR-1,2.1212,3.9446,,
HR-1,2.4242,3.9851,,
HR-1,2.7273,4.02482,,
HR-1,3.0303,4.06606,,
HR-1,3.3333,4.1111,,
HR-1,3.6364,4.16198,,
HR-1,3.9394,4.22039,,
HR-1,4.2424,4.28735,,
HR-1,4.5455,4.36303,,
HR-1,4.8485,4.44661,,
HR-1,5.1515,4.5364,,
HR-1,5.4546,4.63015,,
HR-1,5.7576,4.72567,,
HR-1,6.0606,4.82131,,
HR-1,6.3636,4.91633,,
HR-1,6.6667,5.01077,,
HR-1,6.9697,5.10517,,
HR-1,7.2727,5.19998,,
HR-1,7.5758,5.29503,,
HR-1,7.8788,5.38928,,
HR-1,8.1818,5.4808,,
HR-1,8.4849,5.5672,,
HR-1,8.7879,5.64617,,
HR-1,9.0909,5.71595,,
HR-1,9.3939,5.77566,,
HR-1,9.697,5.8253,,
HR-1,10,5.86554,,
HR-1,10.303,5.89749,,
HR-1,10.6061,5.92244,,
HR-1,10.9091,5.94166,,
HR-1,11.2121,5.95631,,
HR-1,11.5152,5.9674,,
HR-1,11.8182,5.97574,,
HR-1,12.1212,5.98198,,
HR-1,12.4242,5.98663,,
HR-1,12.7273,5.9901,,
HR-1,13.0303,5.99267,,
HR-1,13.3333,5.99458,,
HR-1,13.6364,5.99599,,
HR-1,13.9394,5.99703,,
HR-1,14.2424,5.99781,,
HR-1,14.5455,5.99838,,
HR-1,14.8485,5.9988,,
HR-1,15.1515,5.99912,,
HR-1,15.4545,5.99935,,
HR-1,15.7576,5.99952,,
HR-1,16.0606,5.99964,,
HR-1,16.3636,5.99974,,
HR-1,16.6667,5.99981,,
HR-1,16.9697,5.99986,,
HR-1,17.2727,5.99989,,
HR-1,17.5758,5.99992,,
HR-1,17.8788,5.99994,,
HR-1,18.1818,5.99996,,
HR-1,18.4848,5.99997,,
HR-1,18.7879,5.99998,,
HR-1,19.0909,5.99998,,
HR-1,19.3939,5.99999,,
HR-1,19.697,5.99999,,
HR-1,20,5.99999,,
HR-1,20.303,5.99999,,
HR-1,20.6061,6,,
HR-1,20.9091,6,,
HR-1,21.2121,6,,
HR-1,21.5152,6,,
HR-1,21.8182,6,,
HR-1,22.1212,6,,
HR-1,22.4242,6,,
HR-1,22.7273,6,,
HR-1,23.0303,6,,
HR-1,23.3333,6,,
HR-1,23.6364,6,,
HR-1,23.9394,6,,
HR-1,24.2424,6,,
HR-1,24.5455,6,,
HR-1,24.8485,6,,
HR-1,25.1515,6,,
HR-1,25.4545,6,,
HR-1,25.7576,6,,
HR-1,26.0606,6,,
HR-1,26.3636,6,,
HR-1,26.6667,6,,
HR-1,26.9697,6,,
HR-1,27.2727,6,,
HR-1,27.5758,6,,
HR-1,27.8788,6,,
HR-1,28.1818,6,,
HR-1,28.4848,6,,
HR-1,28.7879,6,,
HR-1,29.0909,6,,
HR-1,29.3939,6,,
HR-1,29.697,6,,
HR-1,30,6,,
HR-2,-30,1,-8.48485,1.5
HR-2,-29.697,1,-4.24242,2.5
HR-2,-29.3939,1,-0.30303,3.5
HR-2,-29.0909,1,4.84849,4.5
HR-2,-28.7879,1,8.48485,5.5
HR-2,-28.4848,1,,
HR-2,-28.1818,1,,
HR-2,-27.8788,1,,
HR-2,-27.5758,1,,
HR-2,-27.2727,1,,
HR-2,-26.9697,1,,
HR-2,-26.6667,1,,
HR-2,-26.3636,1,,
HR-2,-26.0606,1,,
HR-2,-25.7576,1,,
HR-2,-25.4545,1,,
HR-2,-25.1515,1,,
HR-2,-24.8485,1,,
HR-2,-24.5455,1,,
HR-2,-24.2424,1,,
HR-2,-23.9394,1,,
HR-2,-23.6364,1,,
HR-2,-23.3333,1,,
HR-2,-23.0303,1,,
HR-2,-22.7273,1,,
HR-2,-22.4242,1,,
HR-2,-22.1212,1,,
HR-2,-21.8182,1,,
HR-2,-21.5152,1,,
HR-2,-21.2121,1,,
HR-2,-20.9091,1,,
HR-2,-20.6061,1.00001,,
HR-2,-20.303,1.00001,,
HR-2,-20,1.00001,,
HR-2,-19.697,1.00001,,
HR-2,-19.3939,1.00002,,
HR-2,-19.0909,1.00002,,
HR-2,-18.7879,1.00003,,
HR-2,-18.4848,1.00005,,
HR-2,-18.1818,1.00006,,
HR-2,-17.8788,1.00008,,
HR-2,-17.5758,1.00011,,
HR-2,-17.2727,1.00015,,
HR-2,-16.9697,1.00021,,
HR-2,-16.6667,1.00028,,
HR-2,-16.3636,1.00038,,
HR-2,-16.0606,1.00051,,
HR-2,-15.7576,1.0007,,
HR-2,-15.4545,1.00094,,
HR-2,-15.1515,1.00127,,
HR-2,-14.8485,1.00173,,
HR-2,-14.5455,1.00233,,
HR-2,-14.2424,1.00316,,
HR-2,-13.9394,1.00427,,
HR-2,-13.6364,1.00578,,
HR-2,-13.3333,1.0078,,
HR-2,-13.0303,1.01054,,
HR-2,-12.7273,1.01422,,
HR-2,-12.4242,1.01916,,
HR-2,-12.1212,1.02577,,
HR-2,-11.8182,1.03458,,
HR-2,-11.5152,1.04628,,
HR-2,-11.2121,1.06168,,
HR-2,-10.9091,1.08178,,
HR-2,-10.6061,1.10772,,
HR-2,-10.303,1.14068,,
HR-2,-10,1.18176,,
HR-2,-9.697,1.23177,,
HR-2,-9.3939,1.29094,,
HR-2,-9.0909,1.35866,,
HR-2,-8.7879,1.43335,,
HR-2,-8.4849,1.51256,,
HR-2,-8.1818,1.59331,,
HR-2,-7.8788,1.67273,,
HR-2,-7.5758,1.7486,,
HR-2,-7.2727,1.81979,,
HR-2,-6.9697,1.88634,,
HR-2,-6.6667,1.94937,,
HR-2,-6.3636,2.01071,,
HR-2,-6.0606,2.07259,,
HR-2,-5.7576,2.13719,,
HR-2,-5.4545,2.20626,,
HR-2,-5.1515,2.28077,,
HR-2,-4.8485,2.36064,,
HR-2,-4.5455,2.44467,,
HR-2,-4.2424,2.53075,,
HR-2,-3.9394,2.61637,,
HR-2,-3.6364,2.69921,,
HR-2,-3.3333,2.77776,,
HR-2,-3.0303,2.85158,,
HR-2,-2.7273,2.92134,,
HR-2,-2.4242,2.98859,,
HR-2,-2.1212,3.05538,,
HR-2,-1.8182,3.12381,,
HR-2,-1.5152,3.19556,,
HR-2,-1.2121,3.27156,,
HR-2,-0.9091,3.35158,,
HR-2,-0.6061,3.43427,,
HR-2,-0.303,3.51731,,
HR-2,8.9407e-007,3.59792,,
HR-2,0.303,3.67347,,
HR-2,0.6061,3.74206,,
HR-2,0.9091,3.80278,,
HR-2,1.2121,3.85573,,
HR-2,1.5152,3.90189,,
