Model,Rater,Theta,info_data_rater
HR,HR-1,-30,9.32426e-010
HR,HR-1,-29.697,1.26246e-009
HR,HR-1,-29.3939,1.70932e-009
HR,HR-1,-29.0909,2.31434e-009
HR,HR-1,-28.7879,3.13352e-009
HR,HR-1,-28.4848,4.24264e-009
HR,HR-1,-28.1818,5.74435e-009
HR,HR-1,-27.8788,7.77759e-009
HR,HR-1,-27.5758,1.05305e-008
HR,HR-1,-27.2727,1.42578e-008
HR,HR-1,-26.9697,1.93045e-008
HR,HR-1,-26.6667,2.61374e-008
HR,HR-1,-26.3636,3.53889e-008
HR,HR-1,-26.0606,4.7915e-008
HR,HR-1,-25.7576,6.48748e-008
HR,HR-1,-25.4545,8.78375e-008
HR,HR-1,-25.1515,1.18928e-007
HR,HR-1,-24.8485,1.61024e-007
HR,HR-1,-24.5455,2.18019e-007
HR,HR-1,-24.2424,2.95187e-007
HR,HR-1,-23.9394,3.9967e-007
HR,HR-1,-23.6364,5.41136e-007
HR,HR-1,-23.3333,7.32673e-007
HR,HR-1,-23.0303,9.92008e-007
HR,HR-1,-22.7273,1.34313e-006
HR,HR-1,-22.4242,1.81854e-006
HR,HR-1,-22.1212,2.46222e-006
HR,HR-1,-21.8182,3.33373e-006
HR,HR-1,-21.5152,4.51371e-006
HR,HR-1,-21.2121,6.11135e-006
HR,HR-1,-20.9091,8.27446e-006
HR,HR-1,-20.6061,1.12032e-005
HR,HR-1,-20.303,1.51685e-005
HR,HR-1,-20,2.05372e-005
HR,HR-1,-19.697,2.78061e-005
HR,HR-1,-19.3939,3.76474e-005
HR,HR-1,-19.0909,5.09717e-005
HR,HR-1,-18.7879,6.90109e-005
HR,HR-1,-18.4848,9.34332e-005
HR,HR-1,-18.1818,0.000126496
HR,HR-1,-17.8788,0.000171255
HR,HR-1,-17.5758,0.000231844
HR,HR-1,-17.2727,0.000313855
HR,HR-1,-16.9697,0.000424853
HR,HR-1,-16.6667,0.00057506
HR,HR-1,-16.3636,0.000778292
HR,HR-1,-16.0606,0.0010532
HR,HR-1,-15.7576,0.00142493
HR,HR-1,-15.4545,0.00192737
HR,HR-1,-15.1515,0.00260605
HR,HR-1,-14.8485,0.00352203
HR,HR-1,-14.5455,0.00475689
HR,HR-1,-14.2424,0.00641911
HR,HR-1,-13.9394,0.00865202
HR,HR-1,-13.6364,0.0116432
HR,HR-1,-13.3333,0.0156352
HR,HR-1,-13.0303,0.0209359
HR,HR-1,-12.7273,0.0279267
HR,HR-1,-12.4242,0.0370622
HR,HR-1,-12.1212,0.0488547
HR,HR-1,-11.8182,0.0638285
HR,HR-1,-11.5152,0.0824281
HR,HR-1,-11.2121,0.104865
HR,HR-1,-10.9091,0.130898
HR,HR-1,-10.6061,0.159575
HR,HR-1,-10.303,0.189031
HR,HR-1,-10,0.216482
HR,HR-1,-9.69697,0.238588
HR,HR-1,-9.39394,0.252203
HR,HR-1,-9.09091,0.255326
HR,HR-1,-8.78788,0.247822
HR,HR-1,-8.48485,0.231527
HR,HR-1,-8.18182,0.209684
HR,HR-1,-7.87879,0.186031
HR,HR-1,-7.57576,0.163975
HR,HR-1,-7.27273,0.146124
HR,HR-1,-6.9697,0.134205
HR,HR-1,-6.66667,0.129191
HR,HR-1,-6.36364,0.131482
HR,HR-1,-6.06061,0.141002
HR,HR-1,-5.75758,0.15717
HR,HR-1,-5.45454,0.178758
HR,HR-1,-5.15151,0.203725
HR,HR-1,-4.84848,0.22918
HR,HR-1,-4.54545,0.251657
HR,HR-1,-4.24242,0.267789
HR,HR-1,-3.93939,0.27524
HR,HR-1,-3.63636,0.273505
HR,HR-1,-3.33333,0.264162
HR,HR-1,-3.0303,0.250408
HR,HR-1,-2.72727,0.236131
HR,HR-1,-2.42424,0.224925
HR,HR-1,-2.12121,0.219382
HR,HR-1,-1.81818,0.220719
HR,HR-1,-1.51515,0.228648
HR,HR-1,-1.21212,0.241403
HR,HR-1,-0.90909,0.255948
HR,HR-1,-0.60606,0.268476
HR,HR-1,-0.303029,0.275243
HR,HR-1,8.9407e-007,0.273576
HR,HR-1,0.303031,0.262674
HR,HR-1,0.606062,0.243813
HR,HR-1,0.909092,0.219839
HR,HR-1,1.21212,0.194267
HR,HR-1,1.51515,0.170417
HR,HR-1,1.81818,0.150892
HR,HR-1,2.12121,0.137446
HR,HR-1,2.42424,0.131099
HR,HR-1,2.72727,0.132322
HR,HR-1,3.0303,0.141158
HR,HR-1,3.33333,0.157217
HR,HR-1,3.63636,0.179555
HR,HR-1,3.93939,0.206493
HR,HR-1,4.24243,0.23553
HR,HR-1,4.54546,0.263513
HR,HR-1,4.84849,0.287201
HR,HR-1,5.15152,0.304121
HR,HR-1,5.45455,0.313401
HR,HR-1,5.75758,0.316094
HR,HR-1,6.06061,0.314752
HR,HR-1,6.36364,0.312384
HR,HR-1,6.66667,0.311267
HR,HR-1,6.9697,0.312068
HR,HR-1,7.27273,0.313587
HR,HR-1,7.57576,0.313182
HR,HR-1,7.87879,0.307752
HR,HR-1,8.18182,0.294937
HR,HR-1,8.48485,0.274022
HR,HR-1,8.78788,0.246167
HR,HR-1,9.09091,0.213897
HR,HR-1,9.39394,0.180214
HR,HR-1,9.69697,0.147776
HR,HR-1,10,0.118436
HR,HR-1,10.303,0.0931636
HR,HR-1,10.6061,0.0721984
HR,HR-1,10.9091,0.0553014
HR,HR-1,11.2121,0.0419788
HR,HR-1,11.5152,0.0316473
HR,HR-1,11.8182,0.0237346
HR,HR-1,12.1212,0.0177308
HR,HR-1,12.4242,0.0132069
HR,HR-1,12.7273,0.00981575
HR,HR-1,13.0303,0.0072835
HR,HR-1,13.3333,0.00539798
HR,HR-1,13.6364,0.00399699
HR,HR-1,13.9394,0.00295766
HR,HR-1,14.2424,0.0021875
HR,HR-1,14.5455,0.0016173
HR,HR-1,14.8485,0.00119541
HR,HR-1,15.1515,0.000883399
HR,HR-1,15.4545,0.000652729
HR,HR-1,15.7576,0.000482238
HR,HR-1,16.0606,0.000356251
HR,HR-1,16.3636,0.000263163
HR,HR-1,16.6667,0.00019439
HR,HR-1,16.9697,0.000143585
HR,HR-1,17.2727,0.000106056
HR,HR-1,17.5758,7.8334e-005
HR,HR-1,17.8788,5.78578e-005
HR,HR-1,18.1818,4.27336e-005
HR,HR-1,18.4848,3.15627e-005
HR,HR-1,18.7879,2.33118e-005
HR,HR-1,19.0909,1.72178e-005
HR,HR-1,19.3939,1.27167e-005
HR,HR-1,19.697,9.39234e-006
HR,HR-1,20,6.93699e-006
HR,HR-1,20.303,5.12352e-006
HR,HR-1,20.6061,3.78412e-006
HR,HR-1,20.9091,2.79487e-006
HR,HR-1,21.2121,2.06423e-006
HR,HR-1,21.5152,1.52459e-006
