Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,4.3
HR,HR-1,2,3,1.6
HR,HR-1,3,29,1.2
HR,HR-1,4,56,1.2
HR,HR-1,5,10,1.3
HR,HR-1,6,1,1
HR,HR-2,1,1,0.8
HR,HR-2,2,1,0.9
HR,HR-2,3,29,1.3
HR,HR-2,4,54,1.6
HR,HR-2,5,14,1.5
HR,HR-2,6,1,1.4
4o-Mini,4o-Mini,1,1,0.3
4o-Mini,4o-Mini,2,5,0.8
4o-Mini,4o-Mini,3,24,0.8
4o-Mini,4o-Mini,4,62,0.8
4o-Mini,4o-Mini,5,8,0.8
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,1,1
GPT-4o,GPT-4o,2,23,1.5
GPT-4o,GPT-4o,3,33,1.2
GPT-4o,GPT-4o,4,37,0.8
GPT-4o,GPT-4o,5,5,0.7
GPT-4o,GPT-4o,6,1,0.8
CL-3.5-H,CL-3.5-H,1,1,0.5
CL-3.5-H,CL-3.5-H,2,2,0.7
CL-3.5-H,CL-3.5-H,3,26,0.6
CL-3.5-H,CL-3.5-H,4,33,0.5
CL-3.5-H,CL-3.5-H,5,37,0.9
CL-3.5-H,CL-3.5-H,6,1,0.6
CL-3.5-S,CL-3.5-S,1,1,0.3
CL-3.5-S,CL-3.5-S,2,10,0.7
CL-3.5-S,CL-3.5-S,3,22,0.7
CL-3.5-S,CL-3.5-S,4,35,0.7
CL-3.5-S,CL-3.5-S,5,31,0.8
CL-3.5-S,CL-3.5-S,6,1,0.8
