Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,999
HR,HR-1,2,4,1.2
HR,HR-1,3,29,1.3
HR,HR-1,4,57,1.3
HR,HR-1,5,8,1.5
HR,HR-1,6,1,1.3
HR,HR-2,1,1,0.5
HR,HR-2,2,3,1.3
HR,HR-2,3,27,1.5
HR,HR-2,4,58,1.4
HR,HR-2,5,10,1.5
HR,HR-2,6,1,0.8
4o-Mini,4o-Mini,1,1,1.3
4o-Mini,4o-Mini,2,29,1.3
4o-Mini,4o-Mini,3,67,1
4o-Mini,4o-Mini,4,3,1.6
4o-Mini,4o-Mini,5,0,0
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,1,1.2
GPT-4o,GPT-4o,2,26,0.9
GPT-4o,GPT-4o,3,44,1
GPT-4o,GPT-4o,4,27,0.9
GPT-4o,GPT-4o,5,1,1.2
GPT-4o,GPT-4o,6,1,0.3
CL-3.5-H,CL-3.5-H,1,1,0.1
CL-3.5-H,CL-3.5-H,2,16,0.7
CL-3.5-H,CL-3.5-H,3,37,0.6
CL-3.5-H,CL-3.5-H,4,30,0.7
CL-3.5-H,CL-3.5-H,5,15,0.8
CL-3.5-H,CL-3.5-H,6,1,1.4
CL-3.5-S,CL-3.5-S,1,1,0.3
CL-3.5-S,CL-3.5-S,2,16,0.6
CL-3.5-S,CL-3.5-S,3,47,0.6
CL-3.5-S,CL-3.5-S,4,31,0.6
CL-3.5-S,CL-3.5-S,5,4,0.7
CL-3.5-S,CL-3.5-S,6,1,1.4
