Rater,Trait,Theta,info_data_rater
HR-1,I&C,-30,3.82063e-009
HR-1,I&C,-29.697,5.17297e-009
HR-1,I&C,-29.3939,7.00396e-009
HR-1,I&C,-29.0909,9.48305e-009
HR-1,I&C,-28.7879,1.28397e-008
HR-1,I&C,-28.4848,1.73843e-008
HR-1,I&C,-28.1818,2.35376e-008
HR-1,I&C,-27.8788,3.18688e-008
HR-1,I&C,-27.5758,4.3149e-008
HR-1,I&C,-27.2727,5.84217e-008
HR-1,I&C,-26.9697,7.91006e-008
HR-1,I&C,-26.6667,1.07099e-007
HR-1,I&C,-26.3636,1.45007e-007
HR-1,I&C,-26.0606,1.96333e-007
HR-1,I&C,-25.7576,2.65825e-007
HR-1,I&C,-25.4545,3.59916e-007
HR-1,I&C,-25.1515,4.87309e-007
HR-1,I&C,-24.8485,6.59796e-007
HR-1,I&C,-24.5455,8.93334e-007
HR-1,I&C,-24.2424,1.20953e-006
HR-1,I&C,-23.9394,1.63765e-006
HR-1,I&C,-23.6364,2.2173e-006
HR-1,I&C,-23.3333,3.00213e-006
HR-1,I&C,-23.0303,4.06474e-006
HR-1,I&C,-22.7273,5.50347e-006
HR-1,I&C,-22.4242,7.45142e-006
HR-1,I&C,-22.1212,1.00888e-005
HR-1,I&C,-21.8182,1.36597e-005
HR-1,I&C,-21.5152,1.84945e-005
HR-1,I&C,-21.2121,2.50404e-005
HR-1,I&C,-20.9091,3.3903e-005
HR-1,I&C,-20.6061,4.59021e-005
HR-1,I&C,-20.303,6.21473e-005
HR-1,I&C,-20,8.4141e-005
HR-1,I&C,-19.697,0.000113916
HR-1,I&C,-19.3939,0.000154225
HR-1,I&C,-19.0909,0.000208792
HR-1,I&C,-18.7879,0.000282654
HR-1,I&C,-18.4848,0.000382624
HR-1,I&C,-18.1818,0.000517917
HR-1,I&C,-17.8788,0.000700981
HR-1,I&C,-17.5758,0.00094863
HR-1,I&C,-17.2727,0.00128355
HR-1,I&C,-16.9697,0.0017363
HR-1,I&C,-16.6667,0.00234801
HR-1,I&C,-16.3636,0.00317385
HR-1,I&C,-16.0606,0.00428767
HR-1,I&C,-15.7576,0.00578781
HR-1,I&C,-15.4545,0.00780451
HR-1,I&C,-15.1515,0.0105089
HR-1,I&C,-14.8485,0.0141231
HR-1,I&C,-14.5455,0.0189312
HR-1,I&C,-14.2424,0.0252883
HR-1,I&C,-13.9394,0.0336242
HR-1,I&C,-13.6364,0.0444334
HR-1,I&C,-13.3333,0.0582422
HR-1,I&C,-13.0303,0.0755347
HR-1,I&C,-12.7273,0.0966208
HR-1,I&C,-12.4242,0.121438
HR-1,I&C,-12.1212,0.149302
HR-1,I&C,-11.8182,0.178664
HR-1,I&C,-11.5152,0.20703
HR-1,I&C,-11.2121,0.231169
HR-1,I&C,-10.9091,0.24775
HR-1,I&C,-10.6061,0.254258
HR-1,I&C,-10.303,0.249846
HR-1,I&C,-10,0.235675
HR-1,I&C,-9.69697,0.214559
HR-1,I&C,-9.39394,0.19012
HR-1,I&C,-9.09091,0.165887
HR-1,I&C,-8.78788,0.144701
HR-1,I&C,-8.48485,0.128514
HR-1,I&C,-8.18182,0.11849
HR-1,I&C,-7.87879,0.115209
HR-1,I&C,-7.57576,0.118845
HR-1,I&C,-7.27273,0.129235
HR-1,I&C,-6.9697,0.145809
HR-1,I&C,-6.66667,0.167414
HR-1,I&C,-6.36364,0.192107
HR-1,I&C,-6.06061,0.217067
HR-1,I&C,-5.75758,0.238805
HR-1,I&C,-5.45454,0.253774
HR-1,I&C,-5.15151,0.259275
HR-1,I&C,-4.84848,0.254305
HR-1,I&C,-4.54545,0.239905
HR-1,I&C,-4.24242,0.218817
HR-1,I&C,-3.93939,0.194635
HR-1,I&C,-3.63636,0.1709
HR-1,I&C,-3.33333,0.150484
HR-1,I&C,-3.0303,0.135382
HR-1,I&C,-2.72727,0.12678
HR-1,I&C,-2.42424,0.125242
HR-1,I&C,-2.12121,0.130857
HR-1,I&C,-1.81818,0.143267
HR-1,I&C,-1.51515,0.161562
HR-1,I&C,-1.21212,0.1841
HR-1,I&C,-0.90909,0.208361
HR-1,I&C,-0.60606,0.231022
HR-1,I&C,-0.303029,0.248396
HR-1,I&C,8.9407e-007,0.257246
HR-1,I&C,0.303031,0.25571
HR-1,I&C,0.606062,0.243901
HR-1,I&C,0.909092,0.223843
HR-1,I&C,1.21212,0.198788
HR-1,I&C,1.51515,0.172275
HR-1,I&C,1.81818,0.147369
HR-1,I&C,2.12121,0.126292
HR-1,I&C,2.42424,0.11042
HR-1,I&C,2.72727,0.100481
HR-1,I&C,3.0303,0.096806
HR-1,I&C,3.33333,0.0995119
HR-1,I&C,3.63636,0.108583
HR-1,I&C,3.93939,0.123827
HR-1,I&C,4.24243,0.144722
HR-1,I&C,4.54546,0.17018
HR-1,I&C,4.84849,0.198331
HR-1,I&C,5.15152,0.226462
HR-1,I&C,5.45455,0.251287
HR-1,I&C,5.75758,0.26962
HR-1,I&C,6.06061,0.279312
HR-1,I&C,6.36364,0.280035
HR-1,I&C,6.66667,0.273512
HR-1,I&C,6.9697,0.263017
HR-1,I&C,7.27273,0.252397
HR-1,I&C,7.57576,0.245034
HR-1,I&C,7.87879,0.243083
HR-1,I&C,8.18182,0.247056
HR-1,I&C,8.48485,0.255735
HR-1,I&C,8.78788,0.26638
HR-1,I&C,9.09091,0.27528
