Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,0.5
HR,HR-1,2,4,1
HR,HR-1,3,41,1.4
HR,HR-1,4,47,1.3
HR,HR-1,5,6,1.3
HR,HR-1,6,1,1
HR,HR-2,1,1,0.2
HR,HR-2,2,2,1.2
HR,HR-2,3,43,1.5
HR,HR-2,4,45,1.4
HR,HR-2,5,8,1.5
HR,HR-2,6,1,0.9
4o-Mini,4o-Mini,1,1,0.4
4o-Mini,4o-Mini,2,70,0.9
4o-Mini,4o-Mini,3,28,0.7
4o-Mini,4o-Mini,4,1,0.8
4o-Mini,4o-Mini,5,0,0
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,10,1.4
GPT-4o,GPT-4o,2,47,1
GPT-4o,GPT-4o,3,16,1.1
GPT-4o,GPT-4o,4,21,0.9
GPT-4o,GPT-4o,5,6,0.8
GPT-4o,GPT-4o,6,0,0
CL-3.5-H,CL-3.5-H,1,5,0.9
CL-3.5-H,CL-3.5-H,2,41,3.1
CL-3.5-H,CL-3.5-H,3,25,0.6
CL-3.5-H,CL-3.5-H,4,18,0.8
CL-3.5-H,CL-3.5-H,5,10,0.8
CL-3.5-H,CL-3.5-H,6,1,1.2
CL-3.5-S,CL-3.5-S,1,5,0.6
CL-3.5-S,CL-3.5-S,2,25,0.7
CL-3.5-S,CL-3.5-S,3,40,0.6
CL-3.5-S,CL-3.5-S,4,22,0.6
CL-3.5-S,CL-3.5-S,5,7,0.7
CL-3.5-S,CL-3.5-S,6,1,1.1
