Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,999
HR,HR-1,2,3,1.7
HR,HR-1,3,30,1.3
HR,HR-1,4,57,1.1
HR,HR-1,5,8,1.5
HR,HR-1,6,1,0.6
HR,HR-2,1,1,999
HR,HR-2,2,3,1.2
HR,HR-2,3,29,1.6
HR,HR-2,4,55,1.4
HR,HR-2,5,11,1.5
HR,HR-2,6,1,2.2
4o-Mini,4o-Mini,1,1,0.4
4o-Mini,4o-Mini,2,15,0.7
4o-Mini,4o-Mini,3,64,0.7
4o-Mini,4o-Mini,4,20,1.0 
4o-Mini,4o-Mini,5,0,0
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,1,0.9
GPT-4o,GPT-4o,2,23,1.3
GPT-4o,GPT-4o,3,35,1
GPT-4o,GPT-4o,4,37,0.9
GPT-4o,GPT-4o,5,4,0.6
GPT-4o,GPT-4o,6,0,0
CL-3.5-H,CL-3.5-H,1,1,999
CL-3.5-H,CL-3.5-H,2,7,0.6
CL-3.5-H,CL-3.5-H,3,32,0.6
CL-3.5-H,CL-3.5-H,4,27,0.6
CL-3.5-H,CL-3.5-H,5,32,0.9
CL-3.5-H,CL-3.5-H,6,1,0.6
CL-3.5-S,CL-3.5-S,1,1,0.5
CL-3.5-S,CL-3.5-S,2,10,0.7
CL-3.5-S,CL-3.5-S,3,35,0.6
CL-3.5-S,CL-3.5-S,4,35,0.7
CL-3.5-S,CL-3.5-S,5,18,0.8
CL-3.5-S,CL-3.5-S,6,1,0.8
