Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,999
HR,HR-1,2,1,1.1
HR,HR-1,3,18,1.3
HR,HR-1,4,65,1.2
HR,HR-1,5,14,1.2
HR,HR-1,6,1,0.8
HR,HR-2,1,1,999
HR,HR-2,2,1,1.3
HR,HR-2,3,17,1.2
HR,HR-2,4,62,1.2
HR,HR-2,5,18,1.3
HR,HR-2,6,2,2.5
4o-Mini,4o-Mini,1,1,1
4o-Mini,4o-Mini,2,2,0.6
4o-Mini,4o-Mini,3,52,1.1
4o-Mini,4o-Mini,4,44,1
4o-Mini,4o-Mini,5,1,1.9
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,1,1
GPT-4o,GPT-4o,2,18,1.2
GPT-4o,GPT-4o,3,37,1.1
GPT-4o,GPT-4o,4,39,0.9
GPT-4o,GPT-4o,5,4,0.8
GPT-4o,GPT-4o,6,1,0.3
CL-3.5-H,CL-3.5-H,1,1,1
CL-3.5-H,CL-3.5-H,2,11,0.9
CL-3.5-H,CL-3.5-H,3,16,0.7
CL-3.5-H,CL-3.5-H,4,31,0.8
CL-3.5-H,CL-3.5-H,5,40,0.9
CL-3.5-H,CL-3.5-H,6,1,1
CL-3.5-S,CL-3.5-S,1,1,0.7
CL-3.5-S,CL-3.5-S,2,2,0.5
CL-3.5-S,CL-3.5-S,3,20,0.9
CL-3.5-S,CL-3.5-S,4,19,0.5
CL-3.5-S,CL-3.5-S,5,51,0.7
CL-3.5-S,CL-3.5-S,6,7,0.6
