Model,Rater,Category,Category_Percent,Category_Outfit
HR,HR-1,1,1,999
HR,HR-1,2,2,1.2
HR,HR-1,3,21,1.5
HR,HR-1,4,66,1.3
HR,HR-1,5,9,1.4
HR,HR-1,6,1,1.2
HR,HR-2,1,1,999
HR,HR-2,2,1,1.8
HR,HR-2,3,20,1.3
HR,HR-2,4,66,1.4
HR,HR-2,5,11,1.6
HR,HR-2,6,1,2.4
4o-Mini,4o-Mini,1,1,0.3
4o-Mini,4o-Mini,2,14,0.4
4o-Mini,4o-Mini,3,79,0.8
4o-Mini,4o-Mini,4,6,0.8 
4o-Mini,4o-Mini,5,0,0
4o-Mini,4o-Mini,6,0,0
GPT-4o,GPT-4o,1,1,0.7
GPT-4o,GPT-4o,2,21,1.2
GPT-4o,GPT-4o,3,43,1.2
GPT-4o,GPT-4o,4,33,1
GPT-4o,GPT-4o,5,1,1.1
GPT-4o,GPT-4o,6,1,0.2
CL-3.5-H,CL-3.5-H,1,1,999
CL-3.5-H,CL-3.5-H,2,14,0.7
CL-3.5-H,CL-3.5-H,3,48,0.7
CL-3.5-H,CL-3.5-H,4,30,0.8
CL-3.5-H,CL-3.5-H,5,6,1
CL-3.5-H,CL-3.5-H,6,1,1.1
CL-3.5-S,CL-3.5-S,1,1,0.3
CL-3.5-S,CL-3.5-S,2,11,0.7
CL-3.5-S,CL-3.5-S,3,48,0.6
CL-3.5-S,CL-3.5-S,4,36,0.6
CL-3.5-S,CL-3.5-S,5,3,0.5
CL-3.5-S,CL-3.5-S,6,1,1.1
